wavelength (nm),irradiance (W/m^2/nm),
241.6,0.050045792,
241.7,0.052715073,
241.8,0.055318766,
241.9,0.057747733,
242,0.059918083,
242.1,0.061779664,
242.2,0.063317079,
242.3,0.064542387,
242.4,0.065481964,
242.5,0.066162304,
242.6,0.066598864,
242.7,0.066793132,
242.8,0.066737354,
242.9,0.066427146,
243,0.065875814,
243.1,0.065125399,
243.2,0.064249442,
243.3,0.063346331,
243.4,0.062523594,
243.5,0.061877532,
243.6,0.061473491,
243.7,0.061331185,
243.8,0.061418983,
243.9,0.061657978,
244,0.061935777,
244.1,0.062125628,
244.2,0.062108834,
244.3,0.061794749,
244.4,0.061135229,
244.5,0.060131193,
244.6,0.058830516,
244.7,0.057317997,
244.8,0.055700797,
244.9,0.05409131,
245,0.052591829,
245.1,0.05128193,
245.2,0.050210178,
245.3,0.049390528,
245.4,0.04880385,
245.5,0.048404405,
245.6,0.048130732,
245.7,0.047919351,
245.8,0.047719429,
245.9,0.047504741,
246,0.047279902,
246.1,0.047078821,
246.2,0.046955407,
246.3,0.046968545,
246.4,0.04716524,
246.5,0.047567821,
246.6,0.048168247,
246.7,0.048929981,
246.8,0.049796467,
246.9,0.050701956,
247,0.051581389,
247.1,0.052375403,
247.2,0.053030737,
247.3,0.053498347,
247.4,0.053732757,
247.5,0.053694193,
247.6,0.053355242,
247.7,0.052708979,
247.8,0.051775187,
247.9,0.05060177,
248,0.049259242,
248.1,0.047830185,
248.2,0.046396882,
248.3,0.045031355,
248.4,0.04379225,
248.5,0.04272852,
248.6,0.041888669,
248.7,0.041330534,
248.8,0.041125227,
248.9,0.041350895,
249,0.042074954,
249.1,0.043329305,
249.2,0.045087802,
249.3,0.047254546,
249.4,0.049669746,
249.5,0.05213323,
249.6,0.054438404,
249.7,0.056408652,
249.8,0.057924417,
249.9,0.058935707,
250,0.059458435,
250.1,0.059558361,
250.2,0.059329507,
250.3,0.058872156,
250.4,0.058275217,
250.5,0.057604358,
250.6,0.056895145,
250.7,0.056150584,
250.8,0.055344002,
250.9,0.054428263,
251,0.053351225,
251.1,0.052074715,
251.2,0.050592189,
251.3,0.048939032,
251.4,0.047190896,
251.5,0.045450162,
251.6,0.043824669,
251.7,0.042404594,
251.8,0.041245803,
251.9,0.040364132,
252,0.039740968,
252.1,0.039337597,
252.2,0.039112598,
252.3,0.03903677,
252.4,0.039101479,
252.5,0.039317646,
252.6,0.039707769,
252.7,0.040292939,
252.8,0.04107951,
252.9,0.042050017,
253,0.043161013,
253.1,0.044349696,
253.2,0.04554731,
253.3,0.046696051,
253.4,0.047761469,
253.5,0.048737032,
253.6,0.049640403,
253.7,0.050500535,
253.8,0.051343632,
253.9,0.052182264,
254,0.053012304,
254.1,0.053818746,
254.2,0.054588063,
254.3,0.055323212,
254.4,0.056054884,
254.5,0.056845291,
254.6,0.057780992,
254.7,0.058955508,
254.8,0.060445618,
254.9,0.062287866,
255,0.06446458,
255.1,0.06690135,
255.2,0.069480456,
255.3,0.072063368,
255.4,0.074518481,
255.5,0.076743709,
